LOC,Quadrant,Business,Phone,Address,Town,Website,Category,SuperCat,DL Info,Highlight?,Shoppers Discount,Exp.
001M,,Bodylogic Spa,516-431-5400,252 E. Park Ave.,Long Beach,BodylogicSpa.com,Spa,Thrive & Be Well,Massage. Facial. Repeat. – A fresh take on your favorite place to relax and renew.,,,
002M,,East End Volleyball,631-355-1293,1 Laurelton Blvd.,Long Beach,EEVB.net,Recreation,Learn & Play,"Digging it in the sand since 1977, EEVB offers weeknight leagues, weekend tournaments, and training for players of all ages and levels! Come play!",,,
003M,,Lido Kosher Deli,516-431-4411,641 E. Park Ave.,Long Beach,LidoKosherDeli.com,Deli,Eat & Drink,"Serving Long Island for nearly 60 years with the freshest, highest-quality traditional Jewish soul food.. Full-service dining area, free delivery, take-out counter, and catering.",,,
004M,,Rose Ott Design,516-510-9665,675 E. Olive St.,Long Beach,RoseOttDesign.com,Interior Design,Live & Work,"We are an award winning, full service boutique interior design firm specializing in kitchens and baths.",,,
005M,,Liddle Bites Play Cafe,516-442-3131,132 E. Park Ave.,Long Beach,LiddleBites.com,Children,Learn & Play,"A must-visit indoor play space! Whether you're local or just visiting, enjoy good old-fashioned playtime with Open Play, birthdays, and fun classes.",,,
006M,,Zoomin Groomin,516-879-7006,,Long Beach,ZoominGroomin.com,Services - Pet Grooming,Live & Work,Our Professional Mobile Pet Groomers bring the comforts and amenities to you in our High Tech Mobile Grooming vans. Supporting most of the South Shore!,,,
007M,,Berkshire Hathaway HomeServices Laffey International Realty,516-431-0828,860 W. Beech St.,Long Beach,BHHSLaffey.com,Real Estate,Live & Work,"Serving the community for over 100 years; now partnered with BHHS, full service expertise on the Barrier Island & beyond! FREE legal services if you buy or sell with us.",Yes,,
008M,,Paul Gold Real Estate,516-432-4900,1047 W. Beech St.,Long Beach,PaulGoldRealEstate.com,Services - Real Estate,Live & Work,Our family serving your family since 1946.,,,
009M,,Lindell Deli & Grocery,516-432-9171,579 W. Park Ave.,Long Beach,,Delicatessen,Eat & Drink,"Quality since 1973. Hot & cold catering. Boar's Head cold cuts. Daily breakfast and lunch specials. Homemade salads. Dinners to go. Grocery, dairy, beer, ice & more. ",,,
010M,,"Peknic, Peknic & Schaefer, LLC.",516-432-9400,1005 W. Beech St.,Long Beach,PeknicLaw.com,Attorney,Live & Work,"Experienced representation across New York State. Practice areas include insurance defense, personal injury, medical malpractice, real estate, corporate law, estate planning, criminal, and matrimonial law.",Yes,,
011M,,Zaretsky Wellness,934-414-8242,,Lido Beach,Zaretsky-Wellness.com,Wellness,Thrive & Be Well,"Our Signature Hypnotherapy Coaching Program, expert consulting, counseling, and growing range of products support transformative results, clarity, and optimal wellbeing. Begin today!",Yes,,
