LOC,Quadrant,Business,Phone,Address,City,Website,Category,DL Info,HDL?,Shoppers Discount,Exp.,
87,D-12,"David J. Rothfeld, CPA",516-433-2128,120 Bethpage Rd. Suite 301,,DRothTax.com,Accounting & Tax Preparation,"Offering a unique, low-pressure approach to personal and professional services. We have an excellent client-retention rate, and we are extremely proud of the high-quality services that our firm provides.",,,,
17,W-14,East New York Tax,516-786-4700,,,EastNewYorkTax.com,Accounting & Tax Preparation,"Devoted to quality, reliable, and honest service in income tax preparation. Our experienced staff serves clients with preparing returns, continuing education in tax preparation, and keeping up with changes in tax law.",Yes,$10 off personal income tax return! For new customers only. Please mention MapToons.,1/31/2026,
30,L-12,LKK Associates/LKK CPA PC,516-513-0966,15 W. Nicholai St.,,LKKAssociates.com,Accounting & Tax Preparation,"Bookkeeping, tax preparation for businesses, non-profits, and individuals, payroll services, tax planning, and consulting on day-to-day matters.",,,,
1,A-7,Empire Tax Reductions,516-746-4646,114 Forest Ave.,Glen Cove,EmpireTaxReductions.com,Property Tax Reduction,"We've successfully challenged over-assessment for 20 years, securing millions of dollars in property tax reductions. Our fees are 20% lower than the competition. If you don't save money, we don't get paid.",Yes,,,
60,C-13,Harmon Air Ductless Heat Pumps,516-433-0918,50 Bethpage Rd.,,CallHarmonAire.com,Air Conditioning & Heating,"We bring harmony and comfort to your home with energy-efficient heating and cooling solutions. As a Mitsubishi Elite Contractor, we proudly provide expert installation and maintenance for comfortable homes year-round.",,,,
50,N-7,Hi-Tech HVAC Services,718-969-6888,148 Newbridge Rd.,,HiTechHVACServices.com,Air Conditioning & Heating,We have 20+ years of experience in installing and servicing heat pumps in residential and commercial projects. Our professional team is fully insured and licensed with a comprehensive knowledge of the trade.,,,,
14,W-16,AIRPROS Inc.,516-427-3983,105 Bloomingdale Rd.,,AirprosNY.com,Air Conditioning & Heating,"We do what it takes to get the job done right. From installation and repair to ongoing maintenance, we offer a full suite of HVAC services for residential and commercial properties.",,,,
4,L-14,Law Offices of Scott R. Schneider P.C.,516-433-1555,117 Broadway,,NassauBankruptcyAttorney.com,Attorney,"25 years of helping people get rid of debt and save their homes through bankruptcy. To get the guidance and representation of an experienced, committed legal advocate please contact me today.",,Free 30 minute consultation.,1/31/2025,
45,K-21,Advantage Hyundai,516-465-7000,440 Plainview Rd.,,AdvantageHyundai.com,Auto Dealership,"Offering exceptional customer service. Our teams are trained to address your needs from the moment you walk through the door, whether you're in the market for your next vehicle or tuning up your current one.",,,,
46,L-21,Genesis of the North Shore,516-265-1880,430 Plainview Rd,,GenesisOfTheNorthShore.com,Auto Dealership,"Offering exceptional customer service. Our teams are trained to address your needs from the moment you walk through the door, whether you're in the market for your next vehicle or tuning up your current one.",,,,
9,O-3,Platinum Volkswagen,516-942-7300,340 W. Old Country Rd.,,PlatinumVW.com,Auto Dealership,We take pride in the vehicles we sell and strive to succeed in customer experience and satisfaction. We are eager to assist you in your car-buying process.,,,,
8,O-7,Al’s One Stop Auto,516-593-7303,178 W. Old Country Rd.,,AlsOneStopAutoRepairs.com,Auto Repair,Family-owned and operated for over 38 years. Meet the honest mechanic from TV channel 4! If we can’t fix it no one can! Free estimates on repairs.,Yes,,,
74,O-14,All Out Automotive,516-743-9800,63 W. Old Country Rd,,AllOutMotorWorks.com,Auto Repair,"Premier auto repair shop. For 15 years, we’ve been redefining the automotive experience. Our car mechanics proudly serve our community with unparalleled expertise and passion.",,,,
43,I-13,J.V.C. Auto Collision and Repairs,516-939-0020,60 Barclay St.,,"FB ""JVC Auto Repairs""",Autobody,"A family business for over 40 years. Generations have been coming to us for our expert collision work, 24-hour towing, and detailing. Come see our annual holiday lights display!",Yes,,,
88,U-18,Francesco's Bakery,516-931-6821,640 S. Broadway,,FrancescosBakery.com,Bakery,"Since 1986. All baking done on premises. For 39 years, we've been baking the old-fashioned way. “I have a real love for baking; I continue to keep the Italian family traditions of baking alive!""",,,,
107,M-15,Omni Mortgage,516-441-7000,16 E. Old Country Rd.,,IG @omnimortgage,Banking / Finance,"Experienced mortgage professionals who have a hands-on approach to mortgage guidance. Whether purchasing a new home or refinancing your existing home, we strive to match you with the best mortgage product on the market.",,,,
25,O-5,Ridgewood Savings Bank,516-935-0522,220 W. Old Country Rd.,,RidgewoodBank.com,Banking / Finance,"Proudly serving our communities since 1921. Personal & Business Banking, Checking & Savings Accounts, Residential & Commercial Mortgage Lending, Member FDIC, Equal Housing Lender.",,,,
100,Y-5,Harmony Bar,516-342-6481,673 N. Newbridge Rd.,Levittown,TheHarmonyBarLevittown.com,Bar,"Casual bar - Always a Good Time with the Friendliest of People. Pool table, NFL & MLB ticket.",,,,
21,O-18,Alex's Barber Shop,516-342-9108,79 E. Old Country Rd.,,IG @alexsbarbershophicksville,Barbershop,"Specialize in all types of hair, haircuts, hot towel shaves, beards, etc. Open 7 days. No appointment needed!",,,,
22,H-4,BatteriesPlus,516-271-2715,396 W. John St.,,BatteriesPlus.com,Batteries,"More than just a battery store. Providing outstanding service and expertise for a range of solutions - including power, phone repair, auto battery installation, key fobs, lighting, and more!",Yes,,,
113,C-11,Shahnaz Husain Franchise Salon by Nina Lamba,516-206-1440,217 Bethpage Rd. 2nd Floor,,ShahnazHusainNY.com,Beauty,"Over 20 years of experience. Proud to introduce the first ever in US - Shahnaz Husain Franchise Salon. Treatments include Vegetable Peel, Gold, Pearl, Oxygen, Diamond, Plant Stem Cells, Platinum, Telomere DNA Defence, Black Diamond Facials, Body Polish, Hair Spa, and breakthroughs in herbal beauty care.",,,,
